Date,Amundi Core MSCI World Swap UCITS ETF Dist (LU2572257124)
12/1978,7909.521814236096
01/1979,8223.738830345575
02/1979,8103.679636066829
03/1979,8439.461974914022
04/1979,8519.70283701878
05/1979,8463.250740126952
06/1979,8604.857064659884
07/1979,8357.47756934996
08/1979,8717.869719420823
09/1979,8815.82957294813
10/1979,8193.424503981336
11/1979,8409.650968703994
12/1979,8439.17773447795
01/1980,8857.520747982704
02/1980,8942.335545410411
03/1980,8401.860307922478
04/1980,9057.364398916507
05/1980,9089.827764768172
06/1980,9383.975577113328
07/1980,9550.35537294688
08/1980,9928.151798583609
09/1980,10199.973552170197
10/1980,10759.076846019969
11/1980,11599.617389445451
12/1980,11701.67145757428
01/1981,11392.76933018221
02/1981,12201.600468815659
03/1981,12641.078525648723
04/1981,12980.386403870634
05/1981,13501.462494389809
06/1981,13991.203776135517
07/1981,14170.759526320164
08/1981,14265.349953796278
09/1981,12590.837447835731
10/1981,12589.297301138222
11/1981,13376.793858838197
12/1981,13269.68239369974
01/1982,13271.163438110583
02/1982,12879.595709113515
03/1982,12753.318176374029
04/1982,13582.485908068622
05/1982,12784.60185463276
06/1982,12912.182359841288
07/1982,13015.961624113947
08/1982,14041.944643880604
09/1982,14235.344352048272
10/1982,15389.555873524287
11/1982,16471.67382981596
12/1982,16498.18490538529
01/1983,16726.939602914525
02/1983,17386.963397026193
03/1983,18084.658596665813
04/1983,19649.953184447655
05/1983,19573.60062275216
06/1983,20801.57229938034
07/1983,20702.253091761922
08/1983,21482.85682382057
09/1983,21926.127008414216
10/1983,21305.83448748989
11/1983,22434.727129201594
12/1983,23291.590592633263
01/1984,24005.50595329745
02/1984,22879.021005303715
03/1984,23096.118484319715
04/1984,23412.842392466708
05/1984,22455.35166426042
06/1984,22639.07646354818
07/1984,22660.99597178445
08/1984,25209.5465182164
09/1984,26293.830020639147
10/1984,27050.592663792813
11/1984,26236.915847368884
12/1984,27834.97020299361
01/1985,30079.12137567695
02/1985,31251.770561700658
03/1985,32399.98141892475
04/1985,30066.197692887738
05/1985,31822.425224240596
06/1985,31815.802316720445
07/1985,30878.7449979331
08/1985,30053.846593263745
09/1985,30759.35567911853
10/1985,30413.591770541516
11/1985,31483.189004560056
12/1985,32170.24374405132
01/1986,31962.824618540184
02/1986,33462.72148314678
03/1986,35710.56326540718
04/1986,36874.84376918265
05/1986,36117.338497202916
06/1986,37707.36759244383
07/1986,36885.701480606906
08/1986,38895.15156272302
09/1986,37046.63056014705
10/1986,35995.585143643366
11/1986,37892.656216016134
12/1986,38087.89573772115
01/1987,39998.13124339563
02/1987,40577.118144028755
03/1987,43008.58676830969
04/1987,44926.08813394851
05/1987,44432.52817373924
06/1987,45191.25358766615
07/1987,46748.65671393405
08/1987,49884.06557566447
09/1987,47724.98961923662
10/1987,39321.05118301004
11/1987,36033.72905826746
12/1987,36440.252562851994
01/1988,37709.14397345251
02/1988,41037.64560925373
03/1988,41689.94793685992
04/1988,41949.37857839758
05/1988,41501.083475808744
06/1988,42968.19634318813
07/1988,45966.042173403905
08/1988,44397.54340482806
09/1988,45927.788972800896
10/1988,47755.8479046411
11/1988,47443.53743920044
12/1988,47904.73311406293
01/1989,51586.727508234464
02/1989,51878.362562062975
03/1989,51869.404897914115
04/1989,53339.94696699177
05/1989,54245.165523138596
06/1989,54577.68954339141
07/1989,58074.16801533886
08/1989,57522.661640242586
09/1989,60030.52061020206
10/1989,55820.71263327308
11/1989,57195.31572305315
12/1989,56582.06912713441
01/1990,52337.21174537889
02/1990,49408.324690551555
03/1990,47216.137892257124
04/1990,45918.41822888464
05/1990,49904.315388333736
06/1990,49861.49995044553
07/1990,48774.77392261738
08/1990,42242.372376696476
09/1990,37829.733765556695
10/1990,40128.927236327196
11/1990,38668.91556033604
12/1990,39925.022142782145
01/1991,41467.28827087923
02/1991,44531.78394828764
03/1991,47019.879886795905
04/1991,49890.47542574068
05/1991,51679.75505305304
06/1991,50273.241995368226
07/1991,52691.52661473872
08/1991,51343.796733167415
09/1991,51212.49504377057
10/1991,51950.15748072376
11/1991,47804.176409702304
12/1991,49632.764382690715
01/1992,49034.142743011915
02/1992,49228.87204600397
03/1992,48140.1880932177
04/1992,48347.46486063828
05/1992,49286.545926933955
06/1992,46249.223212901925
07/1992,44139.487114165706
08/1992,44051.27001380924
09/1992,44633.958214289996
10/1992,45208.98342339695
11/1992,49009.85215087591
12/1992,49350.4182307868
01/1993,50459.210489935926
