15.06.2024	546459.44
05.07.2024	554332.72
27.07.2024	548144.05
30.07.2024	556388.08
31.07.2024	559123.51
29.08.2024	559143.2
24.09.2024	561330.25
05.10.2024	571544.87
11.10.2024	573624.91
17.10.2024	577559.7
06.11.2024	584723.04
11.11.2024	590864.47
22.11.2024	594660.72
28.11.2024	600695.36
03.12.2024	603897
24.12.2024	598455.01
27.12.2024	606284.72
01.01.2025	602642.25
17.01.2025	613000.89
25.01.2025	613351.42
30.01.2025	618999.15
31.01.2025	622399.38
06.03.2025	598586.81
30.03.2025	594872.61
07.04.2025	551059.84
03.05.2025	593058.34
12.05.2025	605153.48
06.05.2025	613075.83
20.06.2025	607369.75
05.07.2025	617079.5
19.07.2025	623287.69
31.07.2025	645504.57
10.08.2025	637040.06
04.09.2025	644815.83
20.09.2025	653179.21
27.09.2025	652615.66
29.09.2025	659163.07
01.10.2025	660899.16
04.10.2025	663091.35
24.10.2025	670548.02
27.10.2025	673780.54
30.10.2025	680986.23
15.11.2025	671731.42
29.11.2025	684308.15
03.12.2025	681822.52
05.12.2025	683884
17.12.2025	678446.18
24.12.2025	681720.27
29.12.2025	688435.84
03.01.2026	688547.06
05.01.2026	692322.14
09.01.2026	698533.5
09.01.2026	699574.88
23.01.2026	691179.5
02.02.2026	699372.8
07.02.2026	698833.08
11.02.2026	700221.83
18.02.2026	700250.1
21.02.2026	703223.55
14.03.2026	695103.51
24.03.2026	682116.8
01.04.2026	693309.33
03.04.2026	694072.34
08.04.2026	706153.33
15.04.2026	712836.76
16.04.2026	717220.74
17.04.2026	721787.75
24.04.2026	724194.18
29.04.2026	728282.46
30.04.2026	733064.4
06.05.2026	743342.48
11.05.2026	746111.31
13.05.2026	750049.8
14.05.2026	754129.04
23.05.2026	755431.57
29.05.2026	768109.95
01.06.2026	770595.95
03.06.2026	773519.1
05.06.2026	761173.48
13.06.2026	760146.74
14.06.2026	771458.59
19.06.2026	774246.75
30.06.2026	776564.47
04.07.2026	779993.52
11.07.2026	781961.53
22.07.2026	776236.49
31.07.2026	781773.14
03.08.2026	785834.26
05.08.2026	796344.15
30.08.2026	798391.84
05.09.2026	800899.45
16.09.2026	793206.46
19.09.2026	796749.59
